FieldID,Name,Level,PaperCount,Domain,Domain_1
2522767166,Data science,1,"377,414",Engineering and Computer Science,Physical and Mathematical Sciences
556039675,Traditional medicine,1,"557,721",Medicine,
554144382,Performance art,1,"6,894,934",Social Sciences,
548259974,Audiology,1,"226,607",Medicine,
548081761,Waste management,1,"1,834,862",Engineering and Computer Science,
545542383,Medical emergency,1,"436,246",Medicine,
539667460,Management science,1,"675,859",Social Sciences,Engineering and Computer Science
526734887,Environmental protection,1,"485,830",Engineering and Computer Science,
524765639,Water resource management,1,"180,626",Engineering and Computer Science,
512399662,Family medicine,1,"1,483,181",Medicine,
510606860,Ceramic materials,1,"53,126",Engineering and Computer Science,
505870484,Fishery,1,"660,906","Life, Behavioral, and Ecological Sciences",Engineering and Computer Science
502942594,Cancer research,1,"1,120,893",Medicine,
205649164,Geography,0,"4,203,457",Social Sciences,
204787440,Alternative medicine,1,"612,354",Medicine,
204321447,Natural language processing,1,"448,562",Engineering and Computer Science,
203014093,Immunology,1,"3,172,633",Medicine,
201995342,Systems engineering,1,"666,427",Engineering and Computer Science,
200601418,Reliability engineering,1,"310,346",Engineering and Computer Science,
199539241,Law,1,"1,963,658",Social Sciences,
199360897,Programming language,1,"184,631",Engineering and Computer Science,
199343813,Dentistry,1,"556,679",Medicine,
199289684,Mineralogy,1,"717,946",Physical and Mathematical Sciences,Engineering and Computer Science
199104240,Marine engineering,1,"551,398",Engineering and Computer Science,"Life, Behavioral, and Ecological Sciences"
195094911,Process management,1,"200,931",Social Sciences,Engineering and Computer Science
194828623,Emergency medicine,1,"577,851",Medicine,
191897082,Metallurgy,1,"2,255,466",Engineering and Computer Science,Physical and Mathematical Sciences
188147891,Cognitive science,1,"144,902","Life, Behavioral, and Ecological Sciences",
188027245,Polymer chemistry,1,"972,350",Physical and Mathematical Sciences,Engineering and Computer Science
187736073,Management,1,"925,209",Social Sciences,
187320778,Geotechnical engineering,1,"1,149,733",Engineering and Computer Science,
187212893,Pediatrics,1,"1,057,336",Medicine,
186060115,Biological system,1,"56,939","Life, Behavioral, and Ecological Sciences",
185544564,Nuclear physics,1,"292,447",Physical and Mathematical Sciences,
184779094,Atomic physics,1,"1,320,674",Physical and Mathematical Sciences,
183696295,Biochemical engineering,1,"48,452",Engineering and Computer Science,Physical and Mathematical Sciences
180747234,Cognitive psychology,1,"558,325","Life, Behavioral, and Ecological Sciences",
179104552,Inorganic chemistry,1,"4,923,591",Physical and Mathematical Sciences,
178980831,Pattern recognition,1,"872,316",Engineering and Computer Science,
178802073,Aeronautics,1,"168,824",Engineering and Computer Science,
178790620,Organic chemistry,1,"4,951,262",Physical and Mathematical Sciences,"Life, Behavioral, and Ecological Sciences"
178550888,Business administration,1,"111,968",Social Sciences,
177713679,Intensive care medicine,1,"1,481,798",Medicine,
177322064,Radiochemistry,1,"412,220",Physical and Mathematical Sciences,
175605778,Natural resource economics,1,"93,291",Social Sciences,
173608175,Parallel computing,1,"339,254",Engineering and Computer Science,
171250308,Nanotechnology,1,"617,418",Engineering and Computer Science,
171146098,Automotive engineering,1,"1,544,715",Engineering and Computer Science,
170154142,Architectural engineering,1,"213,224",Engineering and Computer Science,
169760540,Neuroscience,1,"645,263","Life, Behavioral, and Ecological Sciences",Medicine
166957645,Archaeology,1,"835,128",Social Sciences,
165205528,Seismology,1,"244,234",Physical and Mathematical Sciences,
164705383,Cardiology,1,"2,257,025",Medicine,
162853370,Marketing,1,"1,085,770",Social Sciences,
162324750,Economics,0,"4,046,287",Social Sciences,
162118730,Actuarial science,1,"381,833",Social Sciences,
161191863,Library science,1,"1,140,678",Social Sciences,
159467904,Chemical physics,1,"115,039",Physical and Mathematical Sciences,
159390177,Soil science,1,"242,156",Physical and Mathematical Sciences,
159110408,Nursing,1,"1,460,893",Medicine,
159047783,Virology,1,"1,905,896",Medicine,
155647269,Medicinal chemistry,1,"309,788",Medicine,Physical and Mathematical Sciences
154945302,Artificial intelligence,1,"4,220,945",Engineering and Computer Science,
153911025,Molecular biology,1,"3,223,347","Life, Behavioral, and Ecological Sciences",Physical and Mathematical Sciences
153294291,Meteorology,1,"487,877",Physical and Mathematical Sciences,
151730666,Paleontology,1,"373,257","Life, Behavioral, and Ecological Sciences",
150903083,Biotechnology,1,"305,504",Engineering and Computer Science,"Life, Behavioral, and Ecological Sciences"
149923435,Demography,1,"437,492",Social Sciences,
149635348,Embedded system,1,"794,775",Engineering and Computer Science,
148383697,Regional science,1,"176,384",Social Sciences,Physical and Mathematical Sciences
147789679,Physical chemistry,1,"190,364",Physical and Mathematical Sciences,
147597530,Computational chemistry,1,"536,796",Physical and Mathematical Sciences,Engineering and Computer Science
147176958,Civil engineering,1,"491,081",Engineering and Computer Science,
146978453,Aerospace engineering,1,"247,760",Engineering and Computer Science,
144133560,Business,0,"4,365,040",Social Sciences,
144027150,Horticulture,1,"1,092,736","Life, Behavioral, and Ecological Sciences",Engineering and Computer Science
144024400,Sociology,0,"4,559,531",Social Sciences,
143998085,Oncology,1,"416,649",Medicine,
142724271,Pathology,1,"3,933,681",Medicine,
141071460,Surgery,1,"5,185,597",Medicine,
140793950,Animal science,1,"297,532","Life, Behavioral, and Ecological Sciences",Medicine
138921699,Political economy,1,"884,989",Social Sciences,
138885662,Philosophy,0,"3,061,152",Social Sciences,Social Sciences
138496976,Developmental psychology,1,"1,058,338","Life, Behavioral, and Ecological Sciences",
136229726,Biomedical engineering,1,"455,227",Engineering and Computer Science,"Life, Behavioral, and Ecological Sciences"
134018914,Endocrinology,1,"4,283,616",Medicine,
133731056,Control engineering,1,"2,397,556",Engineering and Computer Science,
131872663,Obstetrics,1,"624,822",Medicine,
127313418,Geology,0,"6,222,866",Physical and Mathematical Sciences,
126894567,Urology,1,"501,866",Medicine,
126838900,Radiology,1,"1,380,802",Medicine,
126348684,Polymer science,1,"353,306",Engineering and Computer Science,Physical and Mathematical Sciences
126322002,Internal medicine,1,"7,894,373",Medicine,
124101348,Data mining,1,"988,833",Engineering and Computer Science,
121955636,Accounting,1,"321,929",Social Sciences,
121864883,Statistical physics,1,"161,162",Physical and Mathematical Sciences,
121684516,Computer graphics (images),1,"468,920",Engineering and Computer Science,
120665830,Optics,1,"3,884,967",Physical and Mathematical Sciences,Engineering and Computer Science
120314980,Distributed computing,1,"821,364",Engineering and Computer Science,Physical and Mathematical Sciences
119857082,Machine learning,1,"1,053,127",Engineering and Computer Science,
119767625,Optometry,1,"202,073",Medicine,
119599485,Electrical engineering,1,"2,339,749",Engineering and Computer Science,
118552586,Psychiatry,1,"1,493,030","Life, Behavioral, and Ecological Sciences",Medicine
118524514,Computer architecture,1,"108,263",Engineering and Computer Science,
118487528,Ophthalmology,1,"384,568",Medicine,
117671659,Manufacturing engineering,1,"397,518",Engineering and Computer Science,
116915560,Nuclear engineering,1,"186,428",Engineering and Computer Science,
115903868,Software engineering,1,"231,230",Engineering and Computer Science,
115704247,Analytical chemistry,1,"2,542,503",Physical and Mathematical Sciences,
114793014,Geomorphology,1,"890,540",Physical and Mathematical Sciences,
114614502,Combinatorics,1,"544,319",Physical and Mathematical Sciences,
113775141,Computer engineering,1,"227,004",Engineering and Computer Science,
112930515,Risk analysis (engineering),1,"88,950",Engineering and Computer Science,Social Sciences
112698675,Advertising,1,"892,895",Social Sciences,
111919701,Operating system,1,"391,740",Engineering and Computer Science,
111472728,Epistemology,1,"476,897",Social Sciences,
111368507,Oceanography,1,"505,728",Physical and Mathematical Sciences,
110354214,Engineering management,1,"566,741",Engineering and Computer Science,Social Sciences
109214941,Particle physics,1,"530,523",Physical and Mathematical Sciences,
107993555,Gender studies,1,"766,069",Social Sciences,
107872376,Environmental chemistry,1,"512,443",Physical and Mathematical Sciences,
107826830,Environmental resource management,1,"963,508",Engineering and Computer Science,
107457646,Human–computer interaction,1,"377,659",Engineering and Computer Science,Social Sciences
107053488,Construction engineering,1,"95,987",Engineering and Computer Science,
107038049,Aesthetics,1,"186,838",Social Sciences,
105795698,Statistics,1,"1,003,252",Physical and Mathematical Sciences,
105702510,Anatomy,1,"2,017,400","Life, Behavioral, and Ecological Sciences",Medicine
100970517,Physical geography,1,"102,481",Social Sciences,Physical and Mathematical Sciences
99508421,Physical medicine and rehabilitation,1,"392,288",Medicine,
99454951,Environmental health,1,"545,316",Medicine,
98274493,Pharmacology,1,"960,427",Medicine,
97355855,Thermodynamics,1,"495,878",Physical and Mathematical Sciences,
97137747,Forestry,1,"571,661","Life, Behavioral, and Ecological Sciences",
95444343,Cell biology,1,"1,095,751","Life, Behavioral, and Ecological Sciences",
95124753,Environmental ethics,1,"396,461",Social Sciences,"Life, Behavioral, and Ecological Sciences"
91586092,Atmospheric sciences,1,"528,250",Physical and Mathematical Sciences,
91375879,Environmental planning,1,"433,178",Engineering and Computer Science,Social Sciences
90924648,Gastroenterology,1,"601,648",Medicine,
90856448,Zoology,1,"657,272","Life, Behavioral, and Ecological Sciences",
89423630,Microbiology,1,"1,296,049","Life, Behavioral, and Ecological Sciences",
88463610,Agricultural engineering,1,"87,555",Engineering and Computer Science,"Life, Behavioral, and Ecological Sciences"
87717796,Environmental engineering,1,"757,569",Engineering and Computer Science,
87355193,Astrobiology,1,"143,280","Life, Behavioral, and Ecological Sciences",
80444323,Theoretical computer science,1,"663,962",Engineering and Computer Science,Physical and Mathematical Sciences
79403827,Real-time computing,1,"1,448,343",Engineering and Computer Science,
78762247,Petroleum engineering,1,"636,806",Engineering and Computer Science,
78519656,Mechanical engineering,1,"4,796,406",Engineering and Computer Science,
78458016,Evolutionary biology,1,"131,222","Life, Behavioral, and Ecological Sciences",
77805123,Social psychology,1,"1,946,051",Social Sciences,"Life, Behavioral, and Ecological Sciences"
77595967,Forensic engineering,1,"439,614",Engineering and Computer Science,Social Sciences
77088390,Database,1,"622,558",Engineering and Computer Science,
76155785,Telecommunications,1,"650,545",Engineering and Computer Science,
75630572,Applied psychology,1,"756,529",Social Sciences,
75473681,Photochemistry,1,"1,458,797",Physical and Mathematical Sciences,
74909509,Gerontology,1,"541,120",Medicine,Social Sciences
74650414,Classical mechanics,1,"1,106,176",Physical and Mathematical Sciences,
73484699,Criminology,1,"243,380",Social Sciences,
73283319,Financial system,1,"148,662",Social Sciences,
71240020,Stereochemistry,1,"696,385",Physical and Mathematical Sciences,
70721500,Computational biology,1,"169,874","Life, Behavioral, and Ecological Sciences",Engineering and Computer Science
70410870,Clinical psychology,1,"1,078,884",Medicine,"Life, Behavioral, and Ecological Sciences"
66938386,Structural engineering,1,"2,918,835",Engineering and Computer Science,
65244806,Control theory,1,"2,237,586",Engineering and Computer Science,
62649853,Remote sensing,1,"584,931",Engineering and Computer Science,
62520636,Quantum mechanics,1,"842,638",Physical and Mathematical Sciences,
61696701,Engineering physics,1,"362,538",Engineering and Computer Science,Physical and Mathematical Sciences
61434518,General surgery,1,"1,429,674",Medicine,
60644358,Bioinformatics,1,"486,746","Life, Behavioral, and Ecological Sciences",Engineering and Computer Science
59822182,Botany,1,"2,833,204","Life, Behavioral, and Ecological Sciences",
58640448,Cartography,1,"1,642,189",Engineering and Computer Science,
57879066,Mechanics,1,"705,694",Physical and Mathematical Sciences,
56739046,Knowledge management,1,"1,095,531",Social Sciences,Engineering and Computer Science
55587333,Engineering ethics,1,"151,618",Engineering and Computer Science,Social Sciences
55493867,Biochemistry,1,"4,849,789",Physical and Mathematical Sciences,"Life, Behavioral, and Ecological Sciences"
54750564,Commerce,1,"332,595",Social Sciences,
54355233,Genetics,1,"1,692,547","Life, Behavioral, and Ecological Sciences",
54286561,Agroforestry,1,"615,806","Life, Behavioral, and Ecological Sciences",
53553401,Genealogy,1,"262,168","Life, Behavioral, and Ecological Sciences",Social Sciences
49204034,Climatology,1,"467,890",Physical and Mathematical Sciences,
49040817,Optoelectronics,1,"1,695,828",Physical and Mathematical Sciences,Engineering and Computer Science
48824518,Agricultural economics,1,"228,967",Social Sciences,
46312422,Communication,1,"304,534",Social Sciences,
46141821,Nuclear magnetic resonance,1,"1,960,112",Engineering and Computer Science,
44870925,Astrophysics,1,"727,581",Physical and Mathematical Sciences,
44154836,Simulation,1,"1,104,625",Engineering and Computer Science,
43617362,Chromatography,1,"2,783,839",Physical and Mathematical Sciences,Engineering and Computer Science
42972112,Veterinary medicine,1,"425,297",Medicine,
42475967,Operations research,1,"345,320",Social Sciences,Engineering and Computer Science
42407357,Physiology,1,"256,982","Life, Behavioral, and Ecological Sciences",Medicine
42360764,Chemical engineering,1,"1,120,992",Engineering and Computer Science,
42219234,Anesthesia,1,"2,008,778",Medicine,
41999313,Molecular physics,1,"219,712",Physical and Mathematical Sciences,
41895202,Linguistics,1,"980,328",Social Sciences,
39549134,Public relations,1,"1,304,889",Social Sciences,
39432304,Environmental science,0,"3,671,076","Life, Behavioral, and Ecological Sciences",
38652104,Computer security,1,"628,633",Engineering and Computer Science,
37914503,Mathematical physics,1,"159,804",Physical and Mathematical Sciences,
37621935,Agricultural science,1,"142,135","Life, Behavioral, and Ecological Sciences",
37037264,Hydrology,1,"645,825",Engineering and Computer Science,
33923547,Mathematics,0,"7,062,334",Physical and Mathematical Sciences,
33332235,Theoretical physics,1,"106,209",Physical and Mathematical Sciences,
33070731,Toxicology,1,"250,528",Medicine,
31972630,Computer vision,1,"2,032,323",Engineering and Computer Science,
31903555,Food science,1,"1,048,831","Life, Behavioral, and Ecological Sciences",Engineering and Computer Science
31258907,Computer network,1,"1,916,282",Engineering and Computer Science,
30475298,Computational physics,1,"242,153",Physical and Mathematical Sciences,Engineering and Computer Science
29694066,Orthodontics,1,"344,015",Medicine,
29595303,Media studies,1,"1,028,272",Social Sciences,
29456083,Gynecology,1,"818,159",Medicine,
28490314,Speech recognition,1,"580,709",Engineering and Computer Science,
27206212,Theology,1,"770,202",Social Sciences,
26873012,Condensed matter physics,1,"1,318,929",Physical and Mathematical Sciences,
24890656,Acoustics,1,"1,737,207",Engineering and Computer Science,
24667770,Religious studies,1,"1,073,924",Social Sciences,
24326235,Electronic engineering,1,"4,920,613",Engineering and Computer Science,
23123220,Information retrieval,1,"419,892",Engineering and Computer Science,
22212356,Transport engineering,1,"393,425",Engineering and Computer Science,
21880701,Process engineering,1,"194,549",Engineering and Computer Science,Social Sciences
21547014,Operations management,1,"919,603",Social Sciences,Engineering and Computer Science
19527891,Medical physics,1,"224,696",Medicine,Physical and Mathematical Sciences
19417346,Pedagogy,1,"2,667,023",Social Sciences,
19165224,Anthropology,1,"590,632",Social Sciences,"Life, Behavioral, and Ecological Sciences"
18903297,Ecology,1,"2,029,478","Life, Behavioral, and Ecological Sciences",
17744445,Political science,0,"4,910,012",Social Sciences,
17409809,Geochemistry,1,"366,617",Physical and Mathematical Sciences,
16685009,Andrology,1,"109,059",Medicine,
16674752,Mining engineering,1,"242,046",Engineering and Computer Science,
16005928,Dermatology,1,"581,033",Medicine,
15744967,Psychology,0,"7,200,064",Social Sciences,"Life, Behavioral, and Ecological Sciences"
13965031,Nuclear chemistry,1,"621,518",Physical and Mathematical Sciences,
13736549,Industrial engineering,1,"48,811",Engineering and Computer Science,
13280743,Geodesy,1,"176,417",Physical and Mathematical Sciences,Engineering and Computer Science
12554922,Biophysics,1,"213,071",Physical and Mathematical Sciences,"Life, Behavioral, and Ecological Sciences"
11413529,Algorithm,1,"749,045",Engineering and Computer Science,
10138342,Finance,1,"851,613",Social Sciences,
9390403,Computer hardware,1,"2,610,872",Engineering and Computer Science,
8058405,Geophysics,1,"564,156",Physical and Mathematical Sciences,
8010536,Crystallography,1,"635,837",Engineering and Computer Science,Physical and Mathematical Sciences
6557445,Agronomy,1,"1,430,820","Life, Behavioral, and Ecological Sciences",Engineering and Computer Science
5900021,Petrology,1,"225,271",Physical and Mathematical Sciences,
3116431,Public administration,1,"1,325,398",Social Sciences,
3079626,Quantum electrodynamics,1,"533,377",Physical and Mathematical Sciences,
2989005,Nuclear medicine,1,"296,222",Medicine,
2549261,Ethnology,1,"736,860",Social Sciences,"Life, Behavioral, and Ecological Sciences"
2524010,Geometry,1,"608,734",Physical and Mathematical Sciences,
1965285,Earth science,1,"58,973",Physical and Mathematical Sciences,
1862650,Physical therapy,1,"2,408,535",Medicine,
1276947,Astronomy,1,"914,188",Physical and Mathematical Sciences,
459310,Computational science,1,"101,008",Physical and Mathematical Sciences,Engineering and Computer Science
40700,Industrial organization,1,"151,420",Social Sciences,Engineering and Computer Science